Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
HistGradientBoosting,0.8739891493499846,0.7851622874806801,0.6518391787852865,0.7123159616732881,0.9277810087190519,0.8284744235192028,0.08814744722575091
Logistic Regression,0.8597604667826799,0.7563559322033898,0.6107784431137725,0.6758163748225272,0.9134905688939325,0.7863632255838514,0.09773091085555276
Random Forest,0.8534138601699253,0.7276381909547739,0.6193327630453379,0.6691312384473198,0.9049982968488308,0.7806376011844823,0.10040714300430673
