Attribute,Group,N,Positive rate (actual),Precision,Recall,F1
race,Asian-Pac-Islander,311,0.26366559485530544,0.6224489795918368,0.7439024390243902,0.6777777777777778
race,Black,968,0.13326446280991736,0.7327586206896551,0.6589147286821705,0.6938775510204082
race,Amer-Indian-Eskimo,96,0.13541666666666666,1.0,0.5384615384615384,0.7
race,White,8312,0.2531280076997113,0.6906868942267173,0.7789923954372624,0.7321867321867321
race,Other,82,0.12195121951219512,0.875,0.7,0.7777777777777778
sex,Female,3259,0.11077017490027616,0.6824512534818942,0.6786703601108033,0.6805555555555556
sex,Male,6510,0.30368663594470047,0.6928221132411948,0.7860394537177542,0.7364928909952607
